CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1                1163.0000        7540.0000        0.2000           10.0000         
2                9098.0000        7849.0000        0.2000           10.0000         
3                8026.0000        9816.0000        0.2000           10.0000         
4                3595.0000        7855.0000        0.2000           10.0000         
5                7300.0000        10784.0000       0.2000           10.0000         
6                3636.0000        2592.0000        0.2000           10.0000         
7                7427.0000        1523.0000        0.2000           10.0000         
8                6237.0000        9706.0000        0.2000           10.0000         
9                9278.0000        5227.0000        0.2000           10.0000         
10               9581.0000        9628.0000        0.2000           10.0000         
11               1480.0000        5872.0000        0.2000           10.0000         
12               8274.0000        1067.0000        0.2000           10.0000         
13               3633.0000        5760.0000        0.2000           10.0000         
14               10670.0000       4698.0000        0.2000           10.0000         
15               2111.0000        3025.0000        0.2000           10.0000         
16               2154.0000        4865.0000        0.2000           10.0000         
17               2778.0000        10280.0000       0.2000           10.0000         
18               4020.0000        10307.0000       0.2000           10.0000         
19               1138.0000        9116.0000        0.2000           10.0000         
20               5122.0000        1017.0000        0.2000           10.0000         
21               8285.0000        10897.0000       0.0000           0.0000          
22               6508.0000        3007.0000        0.0000           0.0000          
23               1464.0000        8247.0000        0.0000           0.0000          
