CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	8658.1010	9053.4538	0.2000	10.0000
2	14874.1248	7325.1230	0.2000	10.0000
3	10767.3008	9874.6191	0.2000	10.0000
4	8764.5194	13382.2022	0.2000	10.0000
5	8215.3249	4687.4667	0.2000	10.0000
6	8669.5284	9913.1744	0.2000	10.0000
7	12747.4860	9962.2900	0.2000	10.0000
8	3872.3983	2880.2985	0.2000	10.0000
9	9925.1241	7500.7309	0.2000	10.0000
10	7028.6378	5711.7582	0.2000	10.0000
11	6027.7964	10650.5207	0.2000	10.0000
12	1290.4975	5065.2183	0.2000	10.0000
13	8290.1203	7651.0868	0.2000	10.0000
14	6601.3441	10054.1433	0.2000	10.0000
15	6954.6863	6848.0298	0.2000	10.0000
16	10660.6486	1753.8681	0.2000	10.0000
17	11375.3759	11744.7212	0.2000	10.0000
18	2853.3744	5166.2476	0.2000	10.0000
19	2928.2533	2581.6431	0.2000	10.0000
20	14092.6518	11476.5868	0.2000	10.0000
21	7696.5307	11325.9812	0.2000	10.0000
22	7484.4651	4193.3180	0.2000	10.0000
23	7897.2868	9413.1746	0.2000	10.0000
24	12441.8988	2341.4871	0.2000	10.0000
25	7699.6552	9999.1149	0.2000	10.0000
26	9581.1848	1398.4111	0.2000	10.0000
27	11089.4676	2489.0447	0.2000	10.0000
28	7768.3190	14568.3531	0.2000	10.0000
29	7708.6557	7941.4269	0.2000	10.0000
30	5985.7344	8535.8544	0.2000	10.0000
31	7286.8966	8379.1997	0.2000	10.0000
32	1852.6585	3264.1189	0.2000	10.0000
33	12888.7262	6454.6819	0.2000	10.0000
34	14437.0999	10600.4090	0.2000	10.0000
35	13634.0739	1960.1070	0.2000	10.0000
36	1487.3110	10503.6283	0.2000	10.0000
37	9072.8460	5071.6452	0.2000	10.0000
38	12339.4580	4345.2856	0.2000	10.0000
39	3262.8023	12669.3876	0.2000	10.0000
40	13969.9130	1271.2611	0.2000	10.0000
41	266.8582	1891.6950	0.2000	10.0000
42	7396.0608	12076.0054	0.2000	10.0000
43	8121.9361	5735.7464	0.2000	10.0000
44	11094.7733	7700.6892	0.2000	10.0000
45	10157.5704	5445.7215	0.2000	10.0000
46	5934.6916	13002.5805	0.2000	10.0000
47	5760.1598	4246.4637	0.2000	10.0000
48	3604.3281	910.5782	0.2000	10.0000
49	14561.6133	1734.9616	0.2000	10.0000
50	9569.0410	4072.1881	0.2000	10.0000
51	13525.3148	6163.9042	0.2000	10.0000
52	5641.1153	5680.8447	0.2000	10.0000
53	8142.1772	12830.0755	0.2000	10.0000
54	3672.4684	6623.1630	0.2000	10.0000
55	11562.4586	5658.5153	0.2000	10.0000
56	5248.3947	10238.9932	0.2000	10.0000
57	2085.1599	8042.5966	0.2000	10.0000
58	6829.4450	462.4154	0.2000	10.0000
59	6301.0608	6670.2890	0.2000	10.0000
60	13578.2298	768.3792	0.2000	10.0000
61	12324.1380	5751.3272	0.2000	10.0000
62	6861.1156	3276.7327	0.2000	10.0000
63	7003.7354	9374.4606	0.2000	10.0000
64	4846.9884	8396.3960	0.2000	10.0000
65	8900.8694	300.1471	0.2000	10.0000
66	10776.2296	8515.2972	0.0000	0.0000
67	4081.6299	8776.5177	0.0000	0.0000
68	11421.2791	1219.5573	0.0000	0.0000
69	3396.3212	4082.6306	0.0000	0.0000
70	9988.2533	12498.4614	0.0000	0.0000
71	9851.8719	3076.7775	0.0000	0.0000
72	1505.8630	683.8571	0.0000	0.0000
