CUST_NO ,XCOORD  ,  YCOORD, SERVICE_ENERGY,SERVICE_TIME
1,248831.37,2512755.17,0.2,10
2,248226.78,2513090.86,0.2,10
3,248312.33,2513071.96,0.2,10
4,248386.91,2513060.95,0.2,10
5,248419.03,2513055.48,0.2,10
6,248483.46,2513046.26,0.2,10
7,248511.43,2513042.53,0.2,10
8,248357.98,2513064.48,0.2,10
9,248373.01,2513139.96,0.2,10
10,248377.09,2513162.43,0.2,10
11,248348.44,2513246.71,0.2,10
12,248297.93,2513256.6,0.2,10
13,248196.14,2513276.51,0.2,10
14,248419,2513228.35,0.2,10
15,248458.63,2513223.74,0.2,10
16,248499.27,2513219.44,0.2,10
17,248537.51,2513215.89,0.2,10
18,248575.15,2513213.3,0.2,10
19,248606.61,2513206.4,0.2,10
20,248637.8,2513201.39,0.2,10
21,248668.88,2513197.15,0.2,10
22,248706.63,2513192.52,0.2,10
23,248740.64,2513187.4,0.2,10
24,248196.01,2513341.84,0.2,10
25,248238.6,2513334.74,0.2,10
26,248288.52,2513326.51,0.2,10
27,248348.42,2513316.66,0.2,10
28,248418.63,2513367.57,0.2,10
29,248428.8,2513419.37,0.2,10
30,248435.41,2513457.36,0.2,10
31,248445.4,2513502.16,0.2,10
32,248498.36,2513409.3,0.2,10
33,248491.23,2513429.49,0.2,10
34,248495.65,2513465.8,0.2,10
35,248544.48,2513402.94,0.2,10
36,248603.96,2513393.96,0.2,10
37,248781.63,2513369.09,0.2,10
38,248842.68,2513360.83,0.2,10
39,248941.39,2513346.88,0.2,10
40,248971.55,2513342.43,0.2,10
41,248880.53,2513529.54,0.2,10
42,248913,2513525.11,0.2,10
43,248940.37,2513521.53,0.2,10
44,248969.8,2513517.38,0.2,10
45,248996.65,2513513.55,0.2,10
46,249021.89,2513510.62,0.2,10
47,249088.66,2513501.23,0.2,10
48,249166.96,2513491.35,0.2,10
49,249206.37,2513486.27,0.2,10
50,249324.87,2513470.52,0.2,10
51,249375.45,2513473.6,0.2,10
52,249423.71,2513466.41,0.2,10
53,249447.44,2513463.05,0.2,10
54,249469.9,2513459.88,0.2,10
55,249522.45,2513452.63,0.2,10
56,249570.39,2513445.76,0.2,10
57,249627.56,2513437.65,0.2,10
58,249678.32,2513430.95,0.2,10
59,249762.36,2513418.25,0.2,10
60,249034.08,2513334.51,0.2,10
61,249082.44,2513327.83,0.2,10
62,249171.46,2513315.55,0.2,10
63,249209.2,2513310.03,0.2,10
64,249268.27,2513301.51,0.2,10
65,249327.1,2513293.12,0.2,10
66,249418.92,2513280.31,0.2,10
67,249506.37,2513268.19,0.2,10
68,249566.08,2513259.41,0.2,10
69,249623.87,2513251.04,0.2,10
70,249683.59,2513242.64,0.2,10
