CUST_NO	XCOORD	YCOORD 	SERVICE_ENERGY	SERVICE_TIME
1	255246.68	2517700.44	0.2	10
2	255593.05	2517532.12	0.2	10
3	255949.95	2517360.2	0.2	10
4	256306.86	2517188.29	0.2	10
5	256663.78	2517016.39	0.2	10
6	257020.7	2516844.49	0.2	10
7	257377.63	2516672.61	0.2	10
8	257734.57	2516500.74	0.2	10
9	258091.52	2516328.87	0.2	10
10	258448.47	2516157.02	0.2	10
11	255133.23	2516921.29	0.2	10
12	255375.11	2516760.07	0.2	10
13	255732.03	2516588.15	0.2	10
14	256088.96	2516416.24	0.2	10
15	256445.89	2516244.33	0.2	10
16	256802.83	2516072.44	0.2	10
17	257159.78	2515900.55	0.2	10
18	257516.74	2515728.67	0.2	10
19	257873.7	2515556.8	0.2	10
20	258230.67	2515384.95	0.2	10
21	258648.84	2518693.92	0.2	10
22	258280.84	2518541.67	0.2	10
23	257918.65	2518381.24	0.2	10
24	257556.46	2518220.83	0.2	10
25	257194.26	2518060.42	0.2	10
26	256832.05	2517900.02	0.2	10
27	256469.83	2517739.63	0.2	10
28	256107.61	2517579.25	0.2	10
29	255745.37	2517418.88	0.2	10
30	255383.13	2517258.51	0.2	10
31	257615.93	2516588.27	0.2	10
32	257271.36	2516452.72	0.2	10
33	256909.11	2516292.32	0.2	10
34	256546.86	2516131.93	0.2	10
35	256184.6	2515971.54	0.2	10
36	255822.33	2515811.16	0.2	10
37	255871.04	2515644.19	0.2	10
38	255097.77	2515490.42	0.2	10
39	255430.04	2516980.78	0.2	10
40	255786.96	2516808.85	0.2	10
41	256143.88	2516636.94	0.2	10
42	256500.81	2516465.04	0.2	10
43	256857.74	2516293.14	0.2	10
44	257214.69	2516121.26	0.2	10
45	257571.64	2515949.38	0.2	10
46	257928.6	2515777.51	0.2	10
47	258285.56	2515605.65	0.2	10
48	258642.53	2515433.8	0.2	10
49	255329.09	2517093.19	0.2	10
50	255686	2516921.27	0.2	10
51	255802.42	2516555.45	0	0
52	254707.02	2517881.97	0	0
53	257304.23	2517579.27	0	0
