CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	5822.8534	7421.8001	0.2000	10.0000
2	6361.7282	11070.7258	0.2000	10.0000
3	738.0993	11265.9580	0.2000	10.0000
4	557.3907	10622.0027	0.2000	10.0000
5	8721.7445	4396.4487	0.2000	10.0000
6	11869.0431	6331.4872	0.2000	10.0000
7	8078.9574	14250.9245	0.2000	10.0000
8	7364.8951	5279.4188	0.2000	10.0000
9	7399.2228	2695.6039	0.2000	10.0000
10	316.5171	9633.0704	0.2000	10.0000
11	11306.4899	4186.4276	0.2000	10.0000
12	4443.5186	12832.8025	0.2000	10.0000
13	12565.2837	4111.9435	0.2000	10.0000
14	4516.9494	14362.8767	0.2000	10.0000
15	3153.4926	11466.3825	0.2000	10.0000
16	5278.6528	207.9805	0.2000	10.0000
17	2053.2029	2642.1273	0.2000	10.0000
18	7925.7634	1882.8239	0.2000	10.0000
19	11702.2351	11837.7154	0.2000	10.0000
20	4631.8053	7251.8206	0.2000	10.0000
21	3918.1520	14794.2290	0.2000	10.0000
22	13850.2351	706.5101	0.2000	10.0000
23	4430.2320	5854.8330	0.2000	10.0000
24	4390.2477	1937.9428	0.2000	10.0000
25	2667.1639	9324.4499	0.2000	10.0000
26	10327.1717	5884.9789	0.2000	10.0000
27	2706.9018	7649.4934	0.2000	10.0000
28	3376.4421	102.1511	0.2000	10.0000
29	9089.6642	126.3289	0.2000	10.0000
30	5444.6264	2658.9434	0.2000	10.0000
31	11199.7148	3483.2874	0.2000	10.0000
32	14073.2259	1719.4925	0.2000	10.0000
33	199.3026	11860.3983	0.2000	10.0000
34	4810.4259	9041.9494	0.2000	10.0000
35	4762.3751	2607.4177	0.2000	10.0000
36	6972.4596	8008.0346	0.2000	10.0000
37	9288.7444	10928.9887	0.2000	10.0000
38	3519.4621	9844.8208	0.2000	10.0000
39	7866.8765	4580.7116	0.2000	10.0000
40	9026.1107	8459.5540	0.2000	10.0000
41	2797.6048	5377.8173	0.2000	10.0000
42	8077.6134	7697.6666	0.2000	10.0000
43	13880.4424	7110.4223	0.2000	10.0000
44	5278.0055	12142.3598	0.2000	10.0000
45	10286.7389	13763.9234	0.2000	10.0000
46	8587.0709	2986.3340	0.2000	10.0000
47	7062.1807	9491.2265	0.2000	10.0000
48	4089.4995	3546.6645	0.2000	10.0000
49	13591.5643	2857.7747	0.2000	10.0000
50	10069.2559	11252.2413	0.2000	10.0000
51	959.6506	539.4205	0.2000	10.0000
52	6645.2665	11857.8495	0.2000	10.0000
53	2044.9330	8611.0833	0.2000	10.0000
54	8221.2675	6794.5979	0.2000	10.0000
55	4015.6083	10298.3647	0.2000	10.0000
56	2148.7693	10371.0281	0.2000	10.0000
57	8660.5854	10495.7679	0.2000	10.0000
58	2689.5594	13880.7691	0.2000	10.0000
59	11580.7463	6936.4604	0.2000	10.0000
60	8000.9685	663.0480	0.2000	10.0000
61	4699.0063	9688.2054	0.2000	10.0000
62	9074.7300	14866.8151	0.2000	10.0000
63	5693.3995	4007.4402	0.2000	10.0000
64	8861.2380	9824.7228	0.2000	10.0000
65	5627.3956	14013.2662	0.2000	10.0000
66	10039.7900	2594.1542	0.2000	10.0000
67	2021.5495	13959.5140	0.2000	10.0000
68	10766.4177	28.4839	0.2000	10.0000
69	6160.7240	6016.1650	0.2000	10.0000
70	13774.4653	10854.8424	0.2000	10.0000
71	1014.3428	3169.4776	0.2000	10.0000
72	3300.0651	14602.2485	0.2000	10.0000
73	8863.9527	2410.3103	0.2000	10.0000
74	14789.8971	8594.5001	0.2000	10.0000
75	10884.4550	12235.9862	0.2000	10.0000
76	2831.6677	4572.7714	0.2000	10.0000
77	7927.9823	13169.9000	0.2000	10.0000
78	3990.0184	11767.8917	0.2000	10.0000
79	77.6894	8267.2437	0.2000	10.0000
80	9935.0341	3841.1609	0.2000	10.0000
81	6401.3693	13280.3513	0.0000	0.0000
82	1190.5985	10563.5292	0.0000	0.0000
83	3422.4065	8487.4120	0.0000	0.0000
84	10666.9376	2537.9612	0.0000	0.0000
85	11866.6484	8491.2791	0.0000	0.0000
86	2815.8928	707.2166	0.0000	0.0000
87	5706.5144	2073.8309	0.0000	0.0000
88	9136.3954	5014.5123	0.0000	0.0000
