CUST_NO	XCOORD	YCOORD	SERVICE_ENERGY	SERVICE_TIME
1	261065.0691	2511667.033	0.2	10
2	256076.79	2512839.863	0.2	10
3	255412.7707	2514422.088	0.2	10
4	256606.7761	2515675.726	0.2	10
5	257800.5879	2516929.441	0.2	10
6	259188.8594	2518334.923	0.2	10
7	259435.9263	2512557.245	0.2	10
8	252361.6111	2513153.944	0.2	10
9	253560.8159	2514706.216	0.2	10
10	254949.6972	2516111.361	0.2	10
11	256338.3249	2517516.612	0.2	10
12	257532.0354	2518770.298	0.2	10
13	258920.1874	2520175.745	0.2	10
14	253053.2686	2514071.502	0.2	10
15	254442.2522	2515476.61	0.2	10
16	255636.2738	2516730.174	0.2	10
17	257024.7821	2518135.477	0.2	10
18	258218.3882	2519389.208	0.2	10
19	259606.4206	2520794.708	0.2	10
20	260605.5136	2512082.162	0.2	10
21	254677.4505	2513603.969	0.2	10
22	255871.5783	2514857.56	0.2	10
23	257260.2118	2516262.896	0.2	10
24	258453.9242	2517516.654	0.2	10
25	259842.0822	2518922.186	0.2	10
26	257257.9155	2512869.308	0.2	10
27	256758.7707	2512753.735	0.2	10
28	258643.7075	2513043.393	0.2	10
29	258313.7972	2515429.271	0.2	10
30	257647.4082	2516867.401	0.2	10
31	255795.989	2515783.551	0	0
32	256932.4071	2513914.82	0	0
33	257653.4923	2518042.349	0	0
34	253888.6135	2513709.426	0	0
